"Sport","Name","Height","Weight","Age"
"Basketball","Leonardo Andrs ""Leo"" Mainoldi",204,106,31
"Canoeing","Rubn Oscar Voisard Rzola",174,80,25
"Hockey","Mara Victoria Zuloaga Arcodia",175,70,28
"Handball","Marisol Carrat",174,85,30
"Sailing","Yago Lange Saubidet",180,77,28
"Tennis","Juan Martn del Potro",198,97,27
"Sailing","Julio Alsogaray",180,81,36
"Hockey","Lucas Rafael Rossi",188,88,31
"Canoeing","Sabrina Ameghino",169,64,36
"Equestrianism","Bruno Passaro",175,72,27
"Handball","Macarena Gandulfo",174,73,22
"Basketball","Patricio Garino Gullotta",196,96,23
"Volleyball","Morena Martnez Franchi",164,62,23
"Equestrianism","Matas Albarracn",174,65,36
"Rugby Sevens","Fernando Luna",189,97,26
"Shooting","Fernando Borello",188,92,36
"Handball","Valeria Bianchi",170,62,30
"Volleyball","Julieta Constanza Lazcano Colodrero",190,74,27
"Hockey","Luca Masso",186,82,22
"Basketball","Andrs Marcelo Nocioni Roux",201,102,36
"Hockey","Matas Rey",178,72,31
"Basketball","Nicols Laprovittola",193,88,26
"Handball","Luciana Mendoza",170,68,26
"Tennis","Guillermo Durn",178,82,28
"Handball","Luca Haro",178,71,29
"Tennis","Juan Martn del Potro",198,97,27
"Equestrianism","Matas Albarracn",174,65,36
"Athletics","Rosa Liliana Godoy",160,47,34
"Basketball","Marcos Nicols Dela",209,105,24
"Sailing","Victoria Travascio",161,59,28
"Rugby Sevens","Matas Moroni",185,90,25
"Basketball","Carlos Francisco Delfino",196,95,33
"Hockey","Gabriela Aguirre",164,58,30
"Volleyball","Luciano de Cecco",191,98,28
"Football","ngel Martn Correa Martnez",173,80,21
"Rugby Sevens","Axel Mller Aranda",183,96,22
"Triathlon","Gonzalo Ral Tellechea",174,61,31
"Athletics","Juan Manuel Cano Ceres",168,60,28
"Canoeing","Daniel Alfredo Dal Bo",185,78,28
"Equestrianism","Jos Mara Larocca",187,83,47
"Handball","Manuela Pizzo",177,73,24
"Volleyball","Bruno Lima Basolu",198,87,20
"Hockey","Pedro Ibarra",174,75,30
"Rugby Sevens","Santiago lvarez Fourcade",188,93,22
"Sailing","Facundo Olezza Bazan",187,97,21
"Hockey","Roco Mara Snchez Moccia",157,54,28
"Beach Volleyball","Ana Mara Gallay",174,66,30
"Sailing","Klaus Lange Saubidet",182,81,21
"Boxing","Alberto Ezequiel Melin",170,56,26
"Hockey","Juan Manuel Saladino",174,73,28
"Swimming","Julia Sebastin",178,70,22
"Volleyball","Clarisa Sagarda",174,67,27
"Equestrianism","Ramiro Quintana",172,70,39
"Hockey","Martina Cavallero",163,58,26
"Football","Vctor Leandro Cuesta",187,76,27
"Football","Santiago Ascacibar",168,69,19
"Handball","Xoana Soledad Iacoi",161,70,24
"Handball","Juan Pablo Fernndez",192,86,27
"Rugby Sevens","Juan Jos Imhoff",185,86,28
"Athletics","Lus Ariel Molina",172,57,28
"Football","Cristian David Pavn",175,68,20
"Alpine Skiing","Cristian Javier Simari Birkner",184,86,33
"Rugby Sevens","Rodrigo Etchart",175,80,22
"Football","Lisandro Magllan",182,79,22
"Shooting","Amelia Rosa Fournel",160,50,39
"Handball","Victoria Crivelli",176,65,25
"Shooting","Fernanda Mara Russo",166,58,16
"Basketball","Roberto Acua",208,109,25
"Boxing","Fernando Daniel Martnez",165,52,25
"Handball","Elke Josselinne Karsten",175,65,21
"Boxing","Ignacio Perrn",172,56,31
"Athletics","Germn Pablo Chiaraviglio Ermcora",195,84,29
"Handball","Mara Amelia Belotti",180,73,27
"Handball","Roco Campigli",173,70,21
"Alpine Skiing","Cristian Javier Simari Birkner",184,86,33
"Equestrianism","Jos Mara Larocca",187,83,47
"Canoeing","Maria Magdalena Garro",160,60,27
"Hockey","Mara Jos Granatto",158,58,21
